CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*36+*10x2/*131,,CYP2D6 Indeterminate,none
*36+*10x2/*132,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*133,,CYP2D6 Indeterminate,none
*36+*10x2/*134,,CYP2D6 Indeterminate,none
*36+*10x2/*135,,CYP2D6 Indeterminate,none
*36+*10x2/*136,,CYP2D6 Indeterminate,none
*36+*10x2/*137,,CYP2D6 Indeterminate,none
*36+*10x2/*138,,CYP2D6 Indeterminate,none
*36+*10x2/*139,,CYP2D6 Indeterminate,none
*36+*10x2/*140,,CYP2D6 Indeterminate,none
*36+*10x2/*141,,CYP2D6 Indeterminate,none
*36+*10x2/*142,,CYP2D6 Indeterminate,none
*36+*10x2/*143,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*144,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*145,,CYP2D6 Indeterminate,none
*36+*10x2/*146,,CYP2D6 Indeterminate,none
*36+*10x2/*146x2,,CYP2D6 Indeterminate,none
*36+*10x2/*147,,CYP2D6 Indeterminate,none
*36+*10x2/*148,,CYP2D6 Indeterminate,none
*36+*10x2/*149,,CYP2D6 Indeterminate,none
*36+*10x2/*152,,CYP2D6 Indeterminate,none
*36+*10x2/*153,,CYP2D6 Indeterminate,none
*36+*10x2/*154,,CYP2D6 Indeterminate,none
*36+*10x2/*155,,CYP2D6 Indeterminate,none
*36+*10x2/*156,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*157,,CYP2D6 Indeterminate,none
*36+*10x2/*158,,CYP2D6 Indeterminate,none
*36+*10x2/*159,,CYP2D6 Indeterminate,none
*36+*10x2/*160,,CYP2D6 Indeterminate,none
*36+*10x2/*161,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36+*10x2/*162,,CYP2D6 Indeterminate,none
*36+*10x2/*163,,CYP2D6 Indeterminate,none
*36x2/*36x2,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*36x2+*10,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*36x2+*10x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*37,,CYP2D6 Indeterminate,none
*36x2/*38,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*39,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*40,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*41,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*41x2,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*41x3,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*42,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*43,,CYP2D6 Indeterminate,none
*36x2/*43x2,,CYP2D6 Indeterminate,none
*36x2/*44,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*45,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*45x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2/*46,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*47,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*48,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*49,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*50,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*51,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*52,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*53,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*54,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*55,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*56,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*58,,CYP2D6 Indeterminate,none
*36x2/*59,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*60,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*61,,CYP2D6 Indeterminate,none
*36x2/*62,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*63,,CYP2D6 Indeterminate,none
*36x2/*64,,CYP2D6 Indeterminate,none
*36x2/*65,,CYP2D6 Indeterminate,none
*36x2/*68,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*68+*2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*68+*4,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*69,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*70,,CYP2D6 Indeterminate,none
*36x2/*71,,CYP2D6 Indeterminate,none
*36x2/*72,,CYP2D6 Indeterminate,none
*36x2/*73,,CYP2D6 Indeterminate,none
*36x2/*74,,CYP2D6 Indeterminate,none
*36x2/*75,,CYP2D6 Indeterminate,none
*36x2/*81,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*82,,CYP2D6 Indeterminate,none
*36x2/*83,,CYP2D6 Indeterminate,none
*36x2/*84,,CYP2D6 Indeterminate,none
*36x2/*85,,CYP2D6 Indeterminate,none
*36x2/*86,,CYP2D6 Indeterminate,none
*36x2/*87,,CYP2D6 Indeterminate,none
*36x2/*88,,CYP2D6 Indeterminate,none
*36x2/*89,,CYP2D6 Indeterminate,none
*36x2/*90,,CYP2D6 Indeterminate,none
*36x2/*91,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*92,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*93,,CYP2D6 Indeterminate,none
*36x2/*94,,CYP2D6 Indeterminate,none
*36x2/*95,,CYP2D6 Indeterminate,none
*36x2/*96,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*97,,CYP2D6 Indeterminate,none
*36x2/*98,,CYP2D6 Indeterminate,none
*36x2/*99,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*100,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*101,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*102,,CYP2D6 Indeterminate,none
*36x2/*103,,CYP2D6 Indeterminate,none
*36x2/*104,,CYP2D6 Indeterminate,none
*36x2/*105,,CYP2D6 Indeterminate,none
*36x2/*106,,CYP2D6 Indeterminate,none
*36x2/*107,,CYP2D6 Indeterminate,none
*36x2/*108,,CYP2D6 Indeterminate,none
*36x2/*109,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*110,,CYP2D6 Indeterminate,none
*36x2/*111,,CYP2D6 Indeterminate,none
*36x2/*112,,CYP2D6 Indeterminate,none
*36x2/*113,,CYP2D6 Indeterminate,none
*36x2/*114,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*115,,CYP2D6 Indeterminate,none
*36x2/*116,,CYP2D6 Indeterminate,none
*36x2/*117,,CYP2D6 Indeterminate,none
*36x2/*118,,CYP2D6 Indeterminate,none
*36x2/*119,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*120,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*121,,CYP2D6 Indeterminate,none
*36x2/*122,,CYP2D6 Indeterminate,none
*36x2/*123,,CYP2D6 Indeterminate,none
*36x2/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*125,,CYP2D6 Indeterminate,none
*36x2/*126,,CYP2D6 Indeterminate,none
*36x2/*127,,CYP2D6 Indeterminate,none
*36x2/*128,,CYP2D6 Indeterminate,none
*36x2/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*130,,CYP2D6 Indeterminate,none
*36x2/*131,,CYP2D6 Indeterminate,none
*36x2/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2/*133,,CYP2D6 Indeterminate,none
*36x2/*134,,CYP2D6 Indeterminate,none
*36x2/*135,,CYP2D6 Indeterminate,none
*36x2/*136,,CYP2D6 Indeterminate,none
*36x2/*137,,CYP2D6 Indeterminate,none
*36x2/*138,,CYP2D6 Indeterminate,none
*36x2/*139,,CYP2D6 Indeterminate,none
*36x2/*140,,CYP2D6 Indeterminate,none
*36x2/*141,,CYP2D6 Indeterminate,none
*36x2/*142,,CYP2D6 Indeterminate,none
*36x2/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*145,,CYP2D6 Indeterminate,none
*36x2/*146,,CYP2D6 Indeterminate,none
*36x2/*146x2,,CYP2D6 Indeterminate,none
*36x2/*147,,CYP2D6 Indeterminate,none
*36x2/*148,,CYP2D6 Indeterminate,none
*36x2/*149,,CYP2D6 Indeterminate,none
*36x2/*152,,CYP2D6 Indeterminate,none
*36x2/*153,,CYP2D6 Indeterminate,none
*36x2/*154,,CYP2D6 Indeterminate,none
*36x2/*155,,CYP2D6 Indeterminate,none
*36x2/*156,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*157,,CYP2D6 Indeterminate,none
*36x2/*158,,CYP2D6 Indeterminate,none
*36x2/*159,,CYP2D6 Indeterminate,none
*36x2/*160,,CYP2D6 Indeterminate,none
*36x2/*161,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36x2/*162,,CYP2D6 Indeterminate,none
*36x2/*163,,CYP2D6 Indeterminate,none
*36x2+*10/*36x2+*10,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*36x2+*10x2,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*37,,CYP2D6 Indeterminate,none
*36x2+*10/*38,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*39,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10/*40,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*41,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*41x2,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*41x3,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*42,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*43,,CYP2D6 Indeterminate,none
*36x2+*10/*43x2,,CYP2D6 Indeterminate,none
*36x2+*10/*44,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*45,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10/*45x2,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10/*46,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10/*47,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*48,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10/*49,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*50,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*51,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*52,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*53,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10/*54,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*55,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*56,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*58,,CYP2D6 Indeterminate,none
*36x2+*10/*59,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*60,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*61,,CYP2D6 Indeterminate,none
*36x2+*10/*62,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*63,,CYP2D6 Indeterminate,none
*36x2+*10/*64,,CYP2D6 Indeterminate,none
*36x2+*10/*65,,CYP2D6 Indeterminate,none
*36x2+*10/*68,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*68+*2,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10/*68+*4,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*69,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*70,,CYP2D6 Indeterminate,none
*36x2+*10/*71,,CYP2D6 Indeterminate,none
*36x2+*10/*72,,CYP2D6 Indeterminate,none
*36x2+*10/*73,,CYP2D6 Indeterminate,none
*36x2+*10/*74,,CYP2D6 Indeterminate,none
*36x2+*10/*75,,CYP2D6 Indeterminate,none
*36x2+*10/*81,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*82,,CYP2D6 Indeterminate,none
*36x2+*10/*83,,CYP2D6 Indeterminate,none
*36x2+*10/*84,,CYP2D6 Indeterminate,none
*36x2+*10/*85,,CYP2D6 Indeterminate,none
*36x2+*10/*86,,CYP2D6 Indeterminate,none
*36x2+*10/*87,,CYP2D6 Indeterminate,none
*36x2+*10/*88,,CYP2D6 Indeterminate,none
*36x2+*10/*89,,CYP2D6 Indeterminate,none
*36x2+*10/*90,,CYP2D6 Indeterminate,none
*36x2+*10/*91,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*92,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*93,,CYP2D6 Indeterminate,none
*36x2+*10/*94,,CYP2D6 Indeterminate,none
*36x2+*10/*95,,CYP2D6 Indeterminate,none
*36x2+*10/*96,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*97,,CYP2D6 Indeterminate,none
*36x2+*10/*98,,CYP2D6 Indeterminate,none
*36x2+*10/*99,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*100,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*101,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*102,,CYP2D6 Indeterminate,none
*36x2+*10/*103,,CYP2D6 Indeterminate,none
*36x2+*10/*104,,CYP2D6 Indeterminate,none
*36x2+*10/*105,,CYP2D6 Indeterminate,none
*36x2+*10/*106,,CYP2D6 Indeterminate,none
*36x2+*10/*107,,CYP2D6 Indeterminate,none
*36x2+*10/*108,,CYP2D6 Indeterminate,none
*36x2+*10/*109,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*110,,CYP2D6 Indeterminate,none
*36x2+*10/*111,,CYP2D6 Indeterminate,none
*36x2+*10/*112,,CYP2D6 Indeterminate,none
*36x2+*10/*113,,CYP2D6 Indeterminate,none
*36x2+*10/*114,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*115,,CYP2D6 Indeterminate,none
*36x2+*10/*116,,CYP2D6 Indeterminate,none
*36x2+*10/*117,,CYP2D6 Indeterminate,none
*36x2+*10/*118,,CYP2D6 Indeterminate,none
*36x2+*10/*119,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*120,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*121,,CYP2D6 Indeterminate,none
*36x2+*10/*122,,CYP2D6 Indeterminate,none
*36x2+*10/*123,,CYP2D6 Indeterminate,none
*36x2+*10/*124,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*125,,CYP2D6 Indeterminate,none
*36x2+*10/*126,,CYP2D6 Indeterminate,none
*36x2+*10/*127,,CYP2D6 Indeterminate,none
*36x2+*10/*128,,CYP2D6 Indeterminate,none
*36x2+*10/*129,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*130,,CYP2D6 Indeterminate,none
*36x2+*10/*131,,CYP2D6 Indeterminate,none
*36x2+*10/*132,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*133,,CYP2D6 Indeterminate,none
*36x2+*10/*134,,CYP2D6 Indeterminate,none
*36x2+*10/*135,,CYP2D6 Indeterminate,none
*36x2+*10/*136,,CYP2D6 Indeterminate,none
*36x2+*10/*137,,CYP2D6 Indeterminate,none
*36x2+*10/*138,,CYP2D6 Indeterminate,none
*36x2+*10/*139,,CYP2D6 Indeterminate,none
*36x2+*10/*140,,CYP2D6 Indeterminate,none
*36x2+*10/*141,,CYP2D6 Indeterminate,none
*36x2+*10/*142,,CYP2D6 Indeterminate,none
*36x2+*10/*143,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*144,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*145,,CYP2D6 Indeterminate,none
*36x2+*10/*146,,CYP2D6 Indeterminate,none
*36x2+*10/*146x2,,CYP2D6 Indeterminate,none
*36x2+*10/*147,,CYP2D6 Indeterminate,none
*36x2+*10/*148,,CYP2D6 Indeterminate,none
*36x2+*10/*149,,CYP2D6 Indeterminate,none
*36x2+*10/*152,,CYP2D6 Indeterminate,none
*36x2+*10/*153,,CYP2D6 Indeterminate,none
*36x2+*10/*154,,CYP2D6 Indeterminate,none
*36x2+*10/*155,,CYP2D6 Indeterminate,none
*36x2+*10/*156,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*157,,CYP2D6 Indeterminate,none
*36x2+*10/*158,,CYP2D6 Indeterminate,none
*36x2+*10/*159,,CYP2D6 Indeterminate,none
*36x2+*10/*160,,CYP2D6 Indeterminate,none
*36x2+*10/*161,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10/*162,,CYP2D6 Indeterminate,none
*36x2+*10/*163,,CYP2D6 Indeterminate,none
*36x2+*10x2/*36x2+*10x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*37,,CYP2D6 Indeterminate,none
*36x2+*10x2/*38,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*39,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10x2/*40,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*41,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*41x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*41x3,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10x2/*42,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*43,,CYP2D6 Indeterminate,none
*36x2+*10x2/*43x2,,CYP2D6 Indeterminate,none
*36x2+*10x2/*44,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*45,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10x2/*45x2,2.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*46,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10x2/*47,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*48,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10x2/*49,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*50,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*51,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*52,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*53,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10x2/*54,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*55,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*56,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*58,,CYP2D6 Indeterminate,none
*36x2+*10x2/*59,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*60,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*61,,CYP2D6 Indeterminate,none
*36x2+*10x2/*62,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*63,,CYP2D6 Indeterminate,none
*36x2+*10x2/*64,,CYP2D6 Indeterminate,none
*36x2+*10x2/*65,,CYP2D6 Indeterminate,none
*36x2+*10x2/*68,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*68+*2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*36x2+*10x2/*68+*4,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*69,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*70,,CYP2D6 Indeterminate,none
*36x2+*10x2/*71,,CYP2D6 Indeterminate,none
*36x2+*10x2/*72,,CYP2D6 Indeterminate,none
*36x2+*10x2/*73,,CYP2D6 Indeterminate,none
*36x2+*10x2/*74,,CYP2D6 Indeterminate,none
*36x2+*10x2/*75,,CYP2D6 Indeterminate,none
*36x2+*10x2/*81,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*82,,CYP2D6 Indeterminate,none
*36x2+*10x2/*83,,CYP2D6 Indeterminate,none
*36x2+*10x2/*84,,CYP2D6 Indeterminate,none
*36x2+*10x2/*85,,CYP2D6 Indeterminate,none
*36x2+*10x2/*86,,CYP2D6 Indeterminate,none
*36x2+*10x2/*87,,CYP2D6 Indeterminate,none
*36x2+*10x2/*88,,CYP2D6 Indeterminate,none
*36x2+*10x2/*89,,CYP2D6 Indeterminate,none
*36x2+*10x2/*90,,CYP2D6 Indeterminate,none
*36x2+*10x2/*91,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*92,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*93,,CYP2D6 Indeterminate,none
*36x2+*10x2/*94,,CYP2D6 Indeterminate,none
*36x2+*10x2/*95,,CYP2D6 Indeterminate,none
*36x2+*10x2/*96,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*97,,CYP2D6 Indeterminate,none
*36x2+*10x2/*98,,CYP2D6 Indeterminate,none
*36x2+*10x2/*99,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*100,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*101,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*102,,CYP2D6 Indeterminate,none
*36x2+*10x2/*103,,CYP2D6 Indeterminate,none
*36x2+*10x2/*104,,CYP2D6 Indeterminate,none
*36x2+*10x2/*105,,CYP2D6 Indeterminate,none
*36x2+*10x2/*106,,CYP2D6 Indeterminate,none
*36x2+*10x2/*107,,CYP2D6 Indeterminate,none
*36x2+*10x2/*108,,CYP2D6 Indeterminate,none
*36x2+*10x2/*109,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*110,,CYP2D6 Indeterminate,none
*36x2+*10x2/*111,,CYP2D6 Indeterminate,none
*36x2+*10x2/*112,,CYP2D6 Indeterminate,none
*36x2+*10x2/*113,,CYP2D6 Indeterminate,none
*36x2+*10x2/*114,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*115,,CYP2D6 Indeterminate,none
*36x2+*10x2/*116,,CYP2D6 Indeterminate,none
*36x2+*10x2/*117,,CYP2D6 Indeterminate,none
*36x2+*10x2/*118,,CYP2D6 Indeterminate,none
*36x2+*10x2/*119,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*120,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*121,,CYP2D6 Indeterminate,none
*36x2+*10x2/*122,,CYP2D6 Indeterminate,none
*36x2+*10x2/*123,,CYP2D6 Indeterminate,none
*36x2+*10x2/*124,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*125,,CYP2D6 Indeterminate,none
*36x2+*10x2/*126,,CYP2D6 Indeterminate,none
*36x2+*10x2/*127,,CYP2D6 Indeterminate,none
*36x2+*10x2/*128,,CYP2D6 Indeterminate,none
*36x2+*10x2/*129,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*130,,CYP2D6 Indeterminate,none
*36x2+*10x2/*131,,CYP2D6 Indeterminate,none
*36x2+*10x2/*132,0.75,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*133,,CYP2D6 Indeterminate,none
*36x2+*10x2/*134,,CYP2D6 Indeterminate,none
*36x2+*10x2/*135,,CYP2D6 Indeterminate,none
*36x2+*10x2/*136,,CYP2D6 Indeterminate,none
*36x2+*10x2/*137,,CYP2D6 Indeterminate,none
*36x2+*10x2/*138,,CYP2D6 Indeterminate,none
*36x2+*10x2/*139,,CYP2D6 Indeterminate,none
*36x2+*10x2/*140,,CYP2D6 Indeterminate,none
*36x2+*10x2/*141,,CYP2D6 Indeterminate,none
*36x2+*10x2/*142,,CYP2D6 Indeterminate,none
*36x2+*10x2/*143,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*144,0.5,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36x2+*10x2/*145,,CYP2D6 Indeterminate,none
